职位,公司,城市,工资,发布日期,经验要求,学历,职能类别,招聘人数
活动运营,广东千秋传媒有限公司,广州,4.5-6千/月,07-23,无工作经验,招若干人,活动策划;文案/策划;项目经理;活动策划;活动统筹;招募,07-23发布
数据挖掘工程师,广州市网迅信息技术有限公司,广州,1-1.5万/月,07-23,3-4年经验,招1人,数据库工程师/管理员,07-23发布
电话催收/朝九晚六/五险一金,内蒙古万悟企业管理咨询服务有限公司,武汉-洪山区,6-8千/月,07-23,无工作经验,高中,客服专员/助理,招15人
载带技术员,江苏艾锐博精密金属科技有限公司,昆山,6-8千/月,07-23,3-4年经验,中专,机械工程师;技工;载带,招1人
高薪销售 3600底+28点提成+奖金,广州盛世东泰医疗科技有限公司东莞分公司,东莞-南城区,1.5-2万/月,07-23,无工作经验,高中,市场/营销/拓展专员;客户代表;市场专员;销售业务员;销售顾问,招50人
京东 客服4k5 五险一金,四川聚贤逸才人力资源有限公司,成都,4.5-6千/月,07-23,无工作经验,大专,客服专员/助理,招15人
大客户经理,深圳市希尔登游艇发展有限公司,深圳-宝安区,2-2.5万/月,07-23,1年经验,高中,市场/营销/拓展经理,招若干人
物业客服主管,上海盈禧物业服务集团有限公司,青岛-黄岛区,4.5-6千/月,07-23,3-4年经验,大专,物业管理主管,招1人
会计,传奇（湖南）实业发展有限公司,衡阳,2.5-5千/月,07-23,无工作经验,招2人,会计;会计经理/会计主管,07-23发布
外贸主管 +发展前景好,广州乐派服饰有限公司,广州-番禺区,1-1.5万/月,07-23,3-4年经验,大专,贸易/外贸经理/主管;网站运营经理/主管;外贸;英语;网络运营主管;阿里巴巴运营;外贸主管;外贸经理,招1人
装配钳工,深圳市惠和缘科技有限公司,深圳-龙华新区,4.5-6千/月,07-23,2年经验,中专,钳工;装配钳工;钳工;设备调试,招3人
临时展位保洁员,铂路奈尔（上海）贸易有限公司,上海-浦东新区,250元/天,07-23,无工作经验,招1人,清洁工,07-23发布
做五休二 销售顾问,九轩（上海）知识产权代理有限公司,上海-静安区,0.6-1.5万/月,07-23,无工作经验,招10人,销售代表;大客户销售;客服;客户代表;电话销售;商标;专利;储备主管,07-23发布
礼宾主管（皇岗商务中心）,深圳市皇庭国际企业股份有限公司,深圳-福田区,7-8.5千/月,07-23,2年经验,大专,客服主管,招1人
PHP开发工程师,深圳市新易迅科技有限公司,深圳-福田区,1.5-2万/月,07-23,3-4年经验,本科,Web前端开发;网站架构设计师;PHP;软件工程师;开发工程师;linux;Magento平台;Web前端,招1人
招商经理,广州盈晟信息科技有限公司,广州-白云区,1-1.5万/月,07-23,无工作经验,招2人,销售经理;招商经理;团队经理;小组经理,07-23发布
ceo助理（嘉兴）,上海聚水潭网络科技有限公司,嘉兴,5-8千/月,07-23,3-4年经验,本科,总裁助理/总经理助理,招1人
