职位,公司,城市,工资,发布日期,经验要求,学历,职能类别,招聘人数
BD客服,合肥晨玺数据科技有限公司,合肥-政务区,4.5-6千/月,07-23,无工作经验,招5人,销售代表;渠道销售,07-23发布
高新房地产销售实习生（包住）,深圳市好安家房地产顾问有限公司,深圳-福田区,1.5-2千/月,07-23,无工作经验,招若干人,销售代表;电话销售;渠道销售;直销销售;电话销售;房地产销售;业务员;销售代表,07-23发布
销售代表和技术支持,青岛尊龙耐火材料有限公司,青岛-胶州市,0.5-1万/月,07-23,1年经验,中专,销售代表;销售,招6人
微信在线营销,领口（广州）贸易有限公司,广州-白云区,6-8千/月,07-23,无工作经验,高中,销售代表;网络/在线销售;微信专员;在线销售;网络在线销售;网络销售;微信客服;网络在线客服;客户代表;销售助理;销售代表;微信营销,招10人
现场资料员及安全员,深圳市艺涛装饰设计工程有限公司,深圳-福田区,4.5-8千/月,07-23,2年经验,本科,建筑工程管理/项目经理;建筑项目助理;需外驻工地,招2人
医美市场督导,广州天河区洛萱医疗美容门诊有限公司,广州-天河区,0.5-1万/月,07-23,1年经验,高中,美容培训师/导师;美容顾问,招5人
亚马逊销售日本站（社保+双休）,深圳和胜盈科技有限公司,深圳-龙华新区,0.8-1万/月,07-23,2年经验,大专,贸易/外贸专员/助理;日本站销售,招2人
采购跟单,广州旗域染料化工有限公司,广州-番禺区,4-6千/月,07-23,2年经验,大专,采购助理;物流专员/助理,招1人
人事专员,武汉科思沃斯教育科技有限公司,武汉,3.5-4.5千/月,07-23,1年经验,本科,人事专员;企业文化/员工关系/工会管理,招1人
印制助理,湖南湘心图书发行有限公司,长沙-雨花区,3-4.5千/月,07-23,无工作经验,大专,出版/发行;周末双休;五险一金,招1人
外贸业务员,炯玛实业（上海）有限公司,上海-松江区,6-8千/月,07-23,1年经验,大专,贸易/外贸经理/主管;贸易/外贸专员/助理;外贸;外贸业务员;外贸销售,招5人
HRBP,北京超凡知识产权代理有限公司,北京-海淀区,1-1.5万/月,07-23,无工作经验,本科,HRBP,招1人
钣金师傅,佛山市易众洁净科技有限公司,佛山-三水区,5-8千/月,07-23,3-4年经验,高中,折弯工;钣金工;钣金;激光切割;弯折,招2人
跨境电商平面设计,上海埃菲尔实业有限公司,上海-徐汇区,6-8千/月,07-23,1年经验,大专,平面设计师;平面设计;跨境电商,招1人
结构工程师,深圳聚德寿科技有限公司,深圳-南山区,1-1.5万/月,07-23,5-7年经验,本科,结构工程师,招若干人
销售工程师（无责任底薪+高提成+提供住宿）,山东锐捷数控科技集团有限公司,济南,4-8千/月,07-23,无工作经验,招5人,销售代表;大客户销售;销售;直销;渠道销售;直销销售;国内贸易;内贸;代理商;渠道,07-23发布
员工股权计划管理专员/Client Services Associate,金培万国信息咨询服务（北京）有限公司,北京-东城区,7-8.5千/月,07-23,无工作经验,本科,其他;专业顾问;金融;服务;数据处理;带薪年假;五险一金;股票;期权;trading;审计;银行,招4人
售后客服/技术后勤/商务助理,畅阳科技（上海）有限公司,上海-嘉定区,4-6千/月,07-23,1年经验,大专,咨询热线/呼叫中心服务人员;后勤;售后客服;技术后勤;商务助理,招1人
公益专员（上海）,北京康盟慈善基金会,上海,4-6千/月,07-23,1年经验,大专,志愿者/社会工作者,招1人
Java高级开发工程师,深圳市卡联科技股份有限公司,深圳,0.9-1.8万/月,07-23,3-4年经验,大专,高级软件工程师,招2人
猎头顾问,四川凯锐人力资源管理有限公司,成都-高新区,3-6千/月,07-23,无工作经验,大专,招聘专员/助理;电话销售;猎头;销售;人事;招聘;猎头顾问;招聘顾问;人事专员;电话销售;行政;内勤,招若干人
3500+行政专员,郑州晶玖电子科技有限公司,郑州-金水区,2.6-5千/月,07-23,无工作经验,招2人,行政专员/助理;行政,07-23发布
转行/聊天主播/6小时工作时间,武汉客满文化传媒有限公司,武汉-洪山区,6-8千/月,07-23,无工作经验,招若干人,销售代表;大客户销售,07-23发布
销售专员,上海音诗餐饮管理有限公司,上海-徐汇区,1-1.5万/月,07-23,无工作经验,大专,销售代表;渠道销售;直销销售,招5人
市场营销专员,陕西中建政研信息咨询有限公司,延安,4.5-6千/月,07-23,无工作经验,高中,销售代表,招5人
（直招 普工 生产操作工 ）6K月+包吃住,广州兴栋电子科技有限公司,成都-锦江区,4.5-6千/月,07-23,无工作经验,高中,普工/操作工;其他,招100人
外贸业务员、外贸专员,上海连兴电子科技有限公司,上海-普陀区,0.8-1万/月,07-23,1年经验,大专,业务拓展主管/经理;外贸专员;外贸主管;外贸销售;渠道销售;直销销售;电话销售,招2人
总经理助理（八一路）,武汉木森兴业商贸有限公司,武汉-洪山区,3-4.5千/月,07-23,无工作经验,招1人,经理助理/秘书;行政专员/助理,07-23发布
高级外贸业务员,深圳市家车宝智能科技有限公司,深圳-龙华新区,0.4-1万/月,07-23,1年经验,大专,贸易/外贸经理/主管;贸易/外贸专员/助理;外贸;业务员;销售;业务,招1人
人事行政专员,上海是你商贸有限公司,上海,4.5-6千/月,07-23,1年经验,大专,行政专员/助理;人事助理,招1人
网络客服销售,杭州慧一舍网络科技有限公司,杭州,0.8-1万/月,07-23,无工作经验,招3人,网络/在线客服;网络/在线销售;网络客服;网络销售;在线客服;游戏客服;客服,07-23发布
高薪急聘销售专员+无责任底薪+双休,长沙提莫文化传播有限公司,长沙-开福区,6-8千/月,07-23,1年经验,中专,销售代表;销售助理;销售代表;外贸专员;外贸业务员;业务员;市场专员;客服专员;销售主管;销售经理;客户经理,招8人
财务主管,广州菁筑园林工程有限公司,广州-天河区,4.5-6千/月,07-23,3-4年经验,大专,财务助理/文员;会计;会计;财务,招1人
运维专员,贝朗（中国）卫浴有限公司,广州,4-6千/月,07-23,无工作经验,招1人,技术支持/维护工程师;运维;数据,07-23发布
项目助理（双休高薪）,西安毅联专利代理有限公司,西安-高新技术产业开发区,3-5千/月,07-23,无工作经验,招1人,商务助理;销售行政专员;项目;高企;申报,07-23发布
电子工程师,江西联创宏声电子股份有限公司,吉安,6-8千/月,07-23,5-7年经验,大专,电子工程师/技术员;电子技术研发工程师,招1人
门窗五金生产主管,希洛克建筑五金（宁波）有限公司,宁波-鄞州区,6-7千/月,07-23,10年以上经验,高中,生产经理/车间主任;五金生产主管,招1人
市场专员,艺田（广州）设计工程有限公司上海分公司,上海-静安区,6-8千/月,07-23,2年经验,大专,市场/营销/拓展专员;市场助理;市场专员;项目助理;市场助理;项目专员;市场拓展专员,招2人
工程项目经理,广州市川南建筑有限公司,佛山-顺德区,2-3万/月,07-23,5-7年经验,大专,高级建筑工程师/总工,招1人
健身教练,广州易健科技有限公司,东莞-南城区,1-3万/月,07-23,无工作经验,招若干人,健身顾问/教练,07-23发布
行政部主管,正中餐饮酒店有限公司隐秀山居,深圳-龙岗区,0.8-1万/月,07-23,3-4年经验,中技,行政经理/主管/办公室主任,招1人
机械工程师,深圳市百盈生命科技有限公司,深圳,1.5-2万/月,07-23,3-4年经验,本科,医药技术研发人员;结构传动开模,招2人
财务主管（五险一金）,广州市义统包装制品有限公司,广州,5-6.5千/月,07-23,2年经验,大专,财务主管/总账主管;会计经理/会计主管;财务主管;总账会计,招1人
九橙通信受理客服,上海通才电子商务有限公司,上海-静安区,6-8千/月,07-23,2年经验,大专,咨询热线/呼叫中心服务人员;网络/在线客服;电信;客服,招2人
活动策划执行（5-6k双休）,西安研摩造文化发展有限公司,西安-雁塔区,5-6千/月,07-23,1年经验,大专,活动策划;文案/策划;文案策划执行,招若干人
高提成+包住+五险急招电话销售,郑州科泰企业管理咨询有限公司,郑州,1-1.5万/月,07-23,无工作经验,招12人,电话销售;专业顾问;销售;包住;电话销售;咨询;专利顾问;五险,07-23发布
中央空调工程区域销售经理,福州克来沃美的暖通设备销售有限公司,福州-鼓楼区,15-20万/年,07-23,无工作经验,招1人,销售工程师;渠道/分销专员;家电空调销售,07-23发布
行政助理,常熟市七颗星英语培训中心,常熟,3-4.5千/月,07-23,1年经验,大专,行政专员/助理;经理助理/秘书;行政后勤助理,招2人
快驴事业部-防损主管,美团点评,青岛,0.8-1万/月,07-23,5-7年经验,大专,合规经理,招1人
行政专员,辅易航智能科技（苏州）有限公司,苏州-工业园区,4-5千/月,07-23,1年经验,大专,行政专员/助理,招1人
金融财务顾问,中国人寿保险股份有限公司杭州市分公司,杭州-江干区,1-1.5万/月,07-23,无工作经验,本科,财务顾问;财务顾问;金融业务;投资;保险,招1人
工程项目经理,南京万驰汽车文化传播有限公司,南京-溧水区,0.8-1万/月,07-23,3-4年经验,大专,结构/土木/土建工程师,招1人
培训主管/早教托育,上海铭诗教育科技有限公司,上海-浦东新区,1-1.5万/月,07-23,无工作经验,招1人,培训讲师;培训经理/主管,07-23发布
市场专员,江苏盛世伟业新材料有限公司,淮安,4-4.5千/月,07-23,1年经验,高中,建筑工程管理/项目经理;业务分析专员/助理,招5人
见习销售主管,重庆市展灿科技有限公司,重庆-江北区,4.5-6千/月,07-23,无工作经验,招10人,销售主管;管理;销售,07-23发布
法务主管/经理,江河创建集团股份有限公司,广州,0.8-1.3万/月,07-23,2年经验,本科,法务主管/专员;法务经理,招1人
人事招聘专员（晋升空间大）,广州晨晖网络科技有限公司,广州-黄埔区,4-6千/月,07-23,无工作经验,招5人,招聘专员/助理;人事助理;人事;电话邀约;招聘;应届;包住,07-23发布
销售代表,洛阳窈窕电子商务有限公司,洛阳,4-8千/月,07-23,无工作经验,招10人,销售代表;销售;销售代表;销售经理;销售主管,07-23发布
行政经理,广州侨鑫物业有限公司,广州-天河区,0.8-1万/月,07-23,5-7年经验,大专,行政经理/主管/办公室主任,招1人
融资主管/专员,深圳愿景明创管理咨询有限公司,深圳-龙华新区,1-1.5万/月,07-23,3-4年经验,本科,融资经理/融资主管;融资专员,招1人
生产主管,深圳市宏杉杰科技有限公司,深圳-宝安区,6-8千/月,07-23,2年经验,高中,生产经理/车间主任;生产主管;生产主管;生产主任,招2人
后期制作,嘉兴市房掌柜网络科技有限公司,嘉兴,4.5-6千/月,07-23,1年经验,大专,后期制作,招1人
销售代表（电子商务也可以）,连云港福润食品有限公司,连云港,3-7千/月,07-23,无工作经验,大专,销售代表;渠道销售,招20人
自动咖啡机操作员（6个月以上）,福建光合智造人力资源有限公司,福州,19元/小时,07-23,无工作经验,招10人,咖啡师,07-23发布
行政司机（退役军人优先）,深圳前海电商供应链管理有限公司,深圳-南山区,4.5-6千/月,07-23,3-4年经验,高中,后勤;司机;商务司机;行政后勤;C1,招1人
创新项目运营经理,中信云网有限公司,北京-朝阳区,2-3千/月,07-23,2年经验,本科,其他,招若干人
注塑班长,侑昵机电（江苏）有限公司,盐城,0.7-1万/月,07-23,5-7年经验,大专,生产领班/组长,招2人
西安分部总经理,上海金竺实业有限公司,西安-碑林区,3-4万/月,07-23,5-7年经验,大专,区域销售总监;销售总监,招若干人
新车库管员,广州市南菱通汽车销售服务有限公司,广州-白云区,4-6千/月,07-23,无工作经验,中专,其他,招1人
区域销售经理,深圳市韦创力科技有限公司,深圳-龙华新区,5-7千/月,07-23,3-4年经验,大专,区域销售经理,招5人
ERP工程师,佛山市南海区华澳加钉业有限公司,佛山,4-8千/月,07-23,无工作经验,招1人,ERP技术开发;软件工程师;ERP管理员;ERP软件;ERP工程师;系统管理员;ERP实施顾问;软件开发,07-23发布
销售经理,上海晨骏网络科技有限公司,上海-杨浦区,0.8-1.5万/月,07-23,3-4年经验,大专,渠道/分销经理;供应商开发,招1人
口腔全科医生,深圳市友睦口腔股份有限公司,深圳-福田区,1-5万/月,07-23,无工作经验,招若干人,牙科医生,07-23发布
物控专员,深圳市卓翼科技股份有限公司,深圳-宝安区,6.5-8千/月,07-23,3-4年经验,大专,生产计划/物料管理(PMC);物控专员;物料管控;MRP/MPS系统;pmc,招1人
亚马逊运营/英语（精品+高提成）,深圳市壹城佳科技有限公司武汉分公司,武汉-洪山区,0.4-1万/月,07-23,1年经验,本科,贸易/外贸专员/助理;电子商务专员;亚马逊运营;英语;外贸;网站运营;运营专员;美国;亚马逊;店铺运营;店铺跨境电商;电商,招10人
AI训练师,北京睿科伦智能科技有限公司,上海-徐汇区,1-1.5万/月,07-23,无工作经验,招2人,其他;数据标注;制定规则;优化标签,07-23发布
办公室测试助理,深圳市振亚科技有限公司,深圳-宝安区,4.5-6千/月,07-23,无工作经验,大专,电脑操作员/打字员;统计员;助理,招若干人
采购高级文员,德丰电创科技股份有限公司,东莞-洪梅镇,4.5-6千/月,07-23,1年经验,大专,采购员;采购助理;采购文员;采购高级文员;采购助理;采购专员,招1人
网络推广专员,武汉乐游畅玩科技有限公司,武汉-洪山区,1.5-2万/月,07-23,无工作经验,高中,网络/在线销售;网络推广专员,招60人
主案设计师,广州立雅展示设计制作有限公司,广州-海珠区,0.8-1万/月,07-23,3-4年经验,大专,展览/展示/店面设计;高级设计师;主案设计师;主笔设计师;展厅设计师;设计师;空间设计师,招2人
销售/客户代表（无需外跑）,广州睿禾智企业管理服务有限公司,广州-天河区,4-6千/月,07-23,无工作经验,中专,销售代表;大客户管理;销售代表;客户;理财咨询;金融;实习生,招2人
售后技术工程师（佛山）,广州市鹏龙计算机科技有限公司,佛山-南海区,3-6千/月,07-23,1年经验,大专,售前/售后技术支持工程师,招4人
销售代表-温州,驭楚（上海）贸易有限公司,温州,5-8千/月,07-23,1年经验,大专,销售代表;客户代表;渠道销售;销售代表,招1人
前台文员,安美集团,东莞,4-6千/月,07-23,无工作经验,大专,前台接待/总机/接待生;前台文员,招1人
销售代表,昆山润石智能科技有限公司,昆山,10-15万/年,07-23,2年经验,大专,销售代表;销售;市场营销;IT;半导体,招2人
托班老师/老师,上海伸烨教育科技有限公司,上海-浦东新区,4.5-6千/月,07-23,1年经验,大专,幼教;老师/幼师/,招5人
外贸业务员,广州健士婴童用品有限公司,广州,3.5-9.9千/月,07-23,1年经验,大专,网络/在线销售;业务,招2人
客服经理,深圳龙图腾专利代理有限公司,深圳-罗湖区,6-8千/月,07-23,1年经验,大专,客服经理,招1人
单片机开发工程师,深圳市晶哲电子科技有限公司,深圳-南山区,0.6-2万/月,07-23,1年经验,大专,集成电路IC设计/应用工程师;嵌入式软件开发(Linux/单片机/PLC/DSP…);单片机;汇编;pcb设计;原理图设计,招10人
包吃包住销售,广州万德福餐饮管理有限公司成都分公司,成都-青羊区,4-8千/月,07-23,无工作经验,招10人,客户代表;销售代表;销售;电话销售;销售代表;销售专员;客户代表;销售顾问,07-23发布
外贸业务员,深圳市英尚微电子有限公司,深圳-宝安区,0.6-1万/月,07-23,2年经验,大专,贸易/外贸专员/助理;外贸专员;外贸经理;外贸业务员,招2人
客户经理（深圳）,阿雷蒙企业管理咨询（上海）有限公司镇江分公司,深圳,1-1.5万/月,07-23,无工作经验,大专,客户经理/主管;区域销售经理;白色家电;销售,招若干人
人事助理,深圳市颖尚电子材料有限公司,深圳,4.5-6千/月,07-23,1年经验,大专,人事助理;招聘专员/助理;助理;人事;招聘;行政,招1人
歌手艺人,广州市影源文化传播有限公司,广州-番禺区,4.5-6千/月,07-23,无工作经验,大专,其他;歌手艺人,招10人
我爱我家（已上市）销售丨底薪5K+住宿丨带薪培训F,上海我爱我家房地产经纪有限公司,上海-普陀区,0.8-1.2万/月,07-23,无工作经验,高中,销售代表;电话销售;销售;销售代表;电话销售;市场营销;运营;实习;新手;毕业生;退伍军人;包住,招30人
理财顾问,红上诚诚（上海）商务信息咨询有限公司,长沙-开福区,1.5-2万/月,07-23,无工作经验,大专,理财顾问/财务规划师;金融产品销售,招若干人
学习顾问,陕西优源教育科技有限公司,西安-未央区,5-6千/月,07-23,1年经验,大专,专业顾问,招2人
行政助理（急聘）,南宁吉屋房地产置业有限公司,南宁,3-4千/月,07-23,无工作经验,招1人,行政专员/助理,07-23发布
证券经纪人,中国中投证券有限责任公司,成都-金牛区,4.5-6千/月,07-23,无工作经验,高中,证券/期货/外汇经纪人;销售代表,招50人
销售经理,广西深妙科技有限公司,南宁,6-8千/月,07-23,3-4年经验,中专,销售经理;区域销售经理;渠道销售,招3人
IP诉讼律师/律师助理,金杜律师事务所深圳分所,深圳-南山区,1.8-2.5万/月,07-23,1年经验,硕士,律师助理,招若干人
销售代表（无责2500+上班自由）,广西微视际文化传媒有限公司,南宁,6-8千/月,07-23,无工作经验,高中,大客户销售;销售代表;渠道销售;直销销售,招10人
档案管理员,上海康展信息技术有限公司,郑州-金水区,4.5-6千/月,07-23,无工作经验,招2人,图书管理员/资料管理员;档案管理员;助理;周末双休;五险一金;年底双薪;带薪年假;年终奖金,07-23发布
日料店店长/经理,上海广晖汽配有限公司,上海-黄浦区,0.8-1.6万/月,07-23,无工作经验,招1人,店长/经理;日料店;店长;餐饮;经理;饮食,07-23发布
仓库管理员,武汉拓宝科技股份有限公司,武汉-洪山区,4-4.5千/月,07-23,无工作经验,大专,仓库管理员,招1人
技术文员/助理,重庆且动科技有限公司,成都-青羊区,4.5-6千/月,07-23,无工作经验,大专,技术文员/助理;文档工程师;技术文员;助理;软件,招5人
天猫运营店长,广州聚福电子商务有限公司,广州-白云区,0.8-1万/月,07-23,3-4年经验,大专,网店/淘宝店长,招4人
单片机开发工程师,深圳市盈勤创联科技有限公司,深圳-南山区,1-1.5万/月,07-23,3-4年经验,大专,嵌入式软件开发(Linux/单片机/PLC/DSP…);软件工程师;工业自动化;单片机;硬件;编程,招1人
高级课程销售顾问,广州中博教育股份有限公司,广州-天河区,1.2-1.5万/月,07-23,3-4年经验,大专,销售主管;大客户销售;销售代表;课程销售;高级管理;大客户销售,招2人
排班专员,好未来教育（原学而思教育),无锡-梁溪区,4-6千/月,07-23,无工作经验,本科,行政专员/助理;排班;班级;数据,招1人
外贸业务员,深圳市欧地亚时尚科技有限公司,深圳-龙华新区,3-4.5千/月,07-23,无工作经验,招3人,贸易/外贸专员/助理,07-23发布
高薪直聘销售精英+五险一金+住宿,西安建昭企业管理咨询有限公司,西安-雁塔区,5-8千/月,07-23,无工作经验,高中,销售代表;直接销售,招6人
报关员,深圳威高集力物流有限公司,深圳-南山区,6-8千/月,07-23,1年经验,大专,报关与报检,招2人
财务实习生,深圳市前海优为科技有限公司,深圳-南山区,4-4.5千/月,07-23,无工作经验,大专,财务助理/文员;实习生,招1人
前台助理（纯文职）,武汉达内教育有限公司,武汉-硚口区,3-4.5千/月,07-23,无工作经验,招2人,销售行政专员;销售行政助理,07-23发布
成本会计,广州疯酷科技有限公司,广州-增城,5-7千/月,07-23,3-4年经验,大专,会计;成本管理员;成本会计;核算;盘点,招1人
银行保险专员 无责底薪 行政班,武汉市金广达企业管理顾问有限公司,广州-越秀区,0.6-1万/月,07-23,无工作经验,高中,客服专员/助理;咨询热线/呼叫中心服务人员;销售;电话;电销;银行;保险;外呼;双休;行政班;高薪,招若干人
招商总监,广州市索柔生物科技有限公司,广州-花都区,2-3万/月,07-23,5-7年经验,大专,销售总监;市场/营销/拓展总监;销售管理;招商;渠道;运营,招2人
招聘经理,苏州扬学教育科技有限公司,上海,0.8-1.5万/月,07-23,8-9年经验,大专,招聘经理/主管;招聘;招聘管理;人事经理;招聘经理;招聘主管;人事主管,招1人
Amazon亚马逊销售,惠州市创宇数码实业有限公司,西安,0.3-1万/月,07-23,无工作经验,大专,网站运营专员;英语翻译;亚马逊销售;英语翻译;英语编辑;电子商务专员;外贸业务;贸易进出口;运营专员;外贸销售;亚马逊电商,招6人
精品店导购员/营业员,广州源尚文化创意有限公司,广州-天河区,4-6千/月,07-23,无工作经验,高中,导购员;店员/营业员;导购;精品店;天河区;五险;全勤奖;节日福利;销售;年终分红,招5人
旅游渠道执行官,广州市开利网络科技有限公司,广州-天河区,6-8千/月,07-23,1年经验,大专,渠道/分销专员;渠道;推广;策划,招若干人
活动执行,月星商业集团,徐州,3-5千/月,07-23,1年经验,大专,市场企划专员,招1人
西餐厅合作方,广州市千业贸易有限公司,广州-番禺区,80-100万/年,07-23,10年以上经验,大专,店长/经理;西餐厨师,招1人
高薪聘请销售代表+双休+福利（总部）,成都市小书童教育服务管理有限公司,成都-高新区,5-8万/年,07-23,1年经验,大专,销售代表;销售经理,招2人
中信银行电销,深圳市爱众亲仁信息产业有限公司,深圳-福田区,0.8-1万/月,07-23,无工作经验,高中,咨询热线/呼叫中心服务人员;售前/售后技术支持主管;文员;银行;客服;前台;后勤;招聘专员;行政文员,招若干人
中医医师,上林春播中医诊所,南宁,4.5-6千/月,07-23,3-4年经验,中专,中医科医生;针灸/推拿,招1人
行政文员,深圳市易联联盟科技有限公司,深圳-南山区,4-7千/月,07-23,无工作经验,大专,前台接待/总机/接待生;行政专员/助理;前台接待;会议安排;行政助理;经理秘书;行政文员,招5人
人事专员,上海泛微网络科技股份有限公司,上海-闵行区,0.5-1万/月,07-23,1年经验,招若干人,人事专员;人事助理,07-23发布
政府事务经理/项目申报经理,广州市拉拉米信息科技有限公司,广州-天河区,1-2万/月,07-23,无工作经验,本科,公关主管;公关经理;项目申报;政府事务;知识产权;专利,招1人
SF菜鸟物流/6K无销售保底纯接听客服文员   可转运营,士德国际,合肥-经开区,6-8千/月,07-23,无工作经验,高中,房地产销售;客户代表;客服文员;电子商务;高薪轻松;在线客服;非销售;人工接听;行政助理;运营,招6人
商务销售专员/商务代表(高额提成+配部分客户资源),广东朗泰信息科技有限公司,广州-白云区,0.8-1万/月,07-23,无工作经验,招若干人,商务主管/专员;销售代表;商务销售;商务代表;商务专员;销售专员;电话销售;网络销售,07-23发布
电话客服日入200+,同顺康科技（深圳）有限公司,深圳-龙华新区,6-8千/月,07-23,无工作经验,高中,销售助理;开发新客户,招20人
通路&销售运营专员（劳务派遣）,玛氏中国,,7-8千/月,07-23,,,,
大客户经理,北京闪送科技有限公司,北京-海淀区,1-1.5万/月,07-23,3-4年经验,大专,大客户销售,招1人
房修信息员,中海地产南京公司,南京,6-8千/月,07-23,无工作经验,大专,房地产客服;其他,招若干人
会计主管-海南区域-海口(J45637),海南融创基业房地产有限公司,海口,1-1.5万/月,07-23,3-4年经验,本科,会计经理/会计主管,招2人
新媒体运营专员,深圳市爱能特科技有限公司,深圳-龙华新区,0.6-1万/月,07-23,2年经验,大专,媒介专员,招1人
天猫运营（车品 3C）（龙岗区坂田）,深圳市德瑞成电子有限公司,深圳-龙岗区,2-3万/月,07-23,1年经验,大专,店铺推广;网店/淘宝运营;直通车推广;数码;3C;运营总监;运营经理;运营主管;汽车配件,招2人
室内项目助理 Project Assistant,仲量联行,上海-静安区,0.8-1万/月,07-23,无工作经验,本科,建筑项目助理;建筑工程管理/项目经理,招1人
销售助理,佛山市南海飞步橡塑制品有限公司,佛山-南海区,3-4.5千/月,07-23,无工作经验,大专,销售助理,招若干人
多媒体运营（论坛运营）,长沙市校管家教育科技有限公司,长沙-岳麓区,5-8千/月,07-23,3-4年经验,本科,新媒体运营,招1人
电商合作店长,深圳市零式未来科技有限公司,深圳-宝安区,6-8千/月,07-23,3-4年经验,大专,网店/淘宝店长;网店店铺管理员;电商店长,招3人
电商运营主管,上海葡睿酒业有限公司,上海-静安区,0.8-1万/月,07-23,2年经验,本科,电子商务经理/主管;网店/淘宝运营;电商电子商务,招1人
可视化工程师/WEB前端开发工程师,上海直真君智科技有限公司,无锡,0.8-1.6万/月,07-23,2年经验,本科,Web前端开发,招2人
城市经理,深圳市彦信金融服务有限公司,深圳-龙岗区,1-1.8万/月,07-23,1年经验,本科,销售经理;渠道销售,招5人
网络销售 英语销售 外贸客服,湛江金笔信息科技有限公司,湛江,4.5-6千/月,07-23,无工作经验,大专,销售代表;网络/在线销售;网络销售;网络客服;英语客服,招4人
社区运营,深圳市晨天华景投资管理有限公司,深圳-福田区,1-1.5万/月,07-23,3-4年经验,大专,新媒体运营;区块链;社区运营;新媒体,招1人
广州分公司行政部前台岗(J14126),前海人寿保险股份有限公司,广州-天河区,3.8-4.8千/月,07-23,无工作经验,招1人,保险内勤;前台接待/总机/接待生;行政;前台;内勤;助理;文员,07-23发布
品牌推广经理或主管,深圳市香蜜闺秀服饰有限公司,深圳,0.8-1.8万/月,07-23,3-4年经验,本科,其他;品牌推广策划,招若干人
助理创意总监（copy base）,上海顺为广告传播有限公司,上海-普陀区,3-3.3万/月,07-23,5-7年经验,本科,文案/策划;广告创意总监,招若干人
客服专员,广州孝泰康生物科技有限公司,广州-白云区,0.3-1万/月,07-23,1年经验,中专,客服专员/助理;销售代表;渠道销售;直销销售;电话销售;业务销售;客服跟踪;客服专员;线上客服,招若干人
会计助理+专人带岗+ 包住+提成,武汉智多金诺企业咨询管理有限公司,武汉-汉阳区,3.5-6千/月,07-23,无工作经验,大专,会计;财务经理;财务经理;会计;主管,招2人
销售3500底薪+包住宿+师傅一带一,长沙我爱我家信息科技有限公司,长沙,6-8千/月,07-23,无工作经验,招3人,销售代表;销售代表;应届生;实习生;储备干部,07-23发布
线下面销/不加班/接受应届/年假,象上小学生,上海-闵行区,1-1.5万/月,07-23,无工作经验,大专,专业顾问;销售代表;销售代表;课程顾问;教育顾问;不加班;销售工程师;门店销售;无责底薪;大客户销售;销售专员;线下面销,招2人
理财顾问,中国人寿保险股份有限公司杭州市分公司,杭州-江干区,0.8-1万/月,07-23,无工作经验,本科,理财顾问/财务规划师;储备经理人;保险;金融;理财;顾问;业务;实习,招3人
京东运营经理/中国十大卫浴品牌旗舰店,起鑫行电子商务（上海）有限公司,上海-嘉定区,1.2-1.5万/月,07-23,3-4年经验,招若干人,电子商务经理/主管;电商;运营经理;卫浴;京东;天猫;运营;线上,07-23发布
PCB Layout 工程师,深圳市旭晟半导体股份有限公司,深圳-光明新区,0.7-1万/月,07-23,2年经验,本科,版图设计工程师;电子工程师/技术员,招1人
云投集团中祥建筑党建工作部副经理,云南省投资控股集团有限公司,昆明-西山区,,07-23,5-7年经验,本科,党工团干事;党建工作,招1人
平面设计助理,广州华启科技有限公司,广州-天河区,3-4.5千/月,07-23,无工作经验,大专,平面设计师;设计师,招2人
市场专员,上海可颂食品有限公司,上海-闵行区,4.5-6千/月,07-23,1年经验,大专,市场企划专员;市场;企划,招1人
急聘网络销售8K+五险,成都微尚联盟科技有限公司,成都-武侯区,6-8千/月,07-23,1年经验,高中,网络/在线销售;网销,招10人
销售/销售代表/电话销售/客户代表,上海至寻网络技术有限公司,上海-徐汇区,1-1.5万/月,07-23,无工作经验,大专,电话销售;销售代表;销售;商务代表;大客户经理;高级商务代表;电话销售;移动互联网;营销顾问;储备干部;销售管理;销售代表,招5人
美体塑身老师,河南中横国际贸易有限公司,郑州-二七区,6-8千/月,07-23,1年经验,初中及以下,瑜伽老师,招5人
广州电子科技普工临时工6000包吃住,杉鸿（广州）商务有限公司,广州-白云区,6-8千/月,07-23,无工作经验,招若干人,普工/操作工;包装工;岗位有限,07-23发布
机电维修工,深圳市大众物业管理有限公司广州分公司,清远,3-4.5千/月,07-23,1年经验,中技,电工;技工;电;水;维修,招10人
急聘操作工（汉川/包吃住）,湖北科利节能科技有限公司,孝感,6-8千/月,07-23,无工作经验,招若干人,普工/操作工;技工,07-23发布
销售代表/销售顾问,深圳市兆生灵感家具有限公司,深圳,7-9千/月,07-23,无工作经验,中专,销售代表;客户代表;销售;业务;年终双薪;立即上岗;员工旅游;出差补贴;交通补助,招若干人
运营专员,仁和堂深圳分公司,深圳-龙岗区,5-7千/月,07-23,2年经验,大专,电子商务专员;天猫运营;云集;有赞;拼多多运营,招1人
校招渠道主管/经理,长沙汇富康达信息咨询有限公司,长沙-天心区,0.6-1万/月,07-23,2年经验,大专,招聘经理/主管;渠道招聘;校企合作,招2人
大客户代表,鸥软计算机系统贸易（上海）有限公司,上海,0.6-1万/月,07-23,无工作经验,招5人,大客户销售;销售代表;销售;代表;客户,07-23发布
软件工程师（通信电源）,深圳科士达科技股份有限公司,深圳,15-30万/年,07-23,2年经验,本科,电子软件开发(ARM/MCU...);电池/电源开发,招若干人
