,职位,公司,城市,工资,发布日期,经验要求,学历,职能类别,招聘人数
4176,稳定营销专员+高提成（嘉禾）,广州市网铺通电子商务有限公司,广州-白云区,0.8-1万/月,07-23,无工作经验,中专,销售代表;销售;匹配;电话,招3人
4177,8K招招商专员（软件园+8H）,武汉市同创乐道网络科技有限公司,武汉-洪山区,0.7-1.2万/月,07-23,无工作经验,,电话销售;电话销售,招8人
4178,郑东新区课程顾问（公司提供精准资源）,郑州市金水区爱贝外语培训中心,郑州,0.8-1.3万/月,07-23,无工作经验,大专,专业顾问;咨询员;销售;课程顾问;咨询师;招生,招1人
4179,销售实习生（3000起+住宿+培训+绩效奖金）,温州汉顿科技有限公司,温州,150元/天,07-23,无工作经验,,销售助理;销售代表;实习;***;销售,招若干人
4180,大学生团队直聘学徒 供住 保底6800 导师带教,深圳市乐有家房产交易有限公司,深圳,0.8-1万/月,07-23,无工作经验,大专,销售代表;普工/操作工;电话销售;直销销售;渠道销售;五险一金;节日福利;提供住宿,招3人
4181,测试工程师,北京炎黄新星网络科技有限公司,北京-海淀区,5-7千/月,07-23,无工作经验,本科,测试工程师;软件测试,招2人
4182,英语在线/邮件客服类,天津奥格森科技有限公司,天津,4-6千/月,07-23,无工作经验,本科,客服专员/助理,招若干人
4183,客户服务专员（江北金源广场）,金宝贝早教重庆中心,重庆-江北区,4-6千/月,07-23,无工作经验,大专,客服专员/助理;班主任;前台;客服;行政;教务;后勤,招3人
4184,业务专员/家具销售（周末双休+高提成）,四川全永盛家具有限公司,成都-金牛区,6-8千/月,07-23,无工作经验,,大客户销售;销售经理;直销销售;业务人员;地铁口;家具销售;大客户销售;双休,招5人
4185,行政经理,新华人寿保险股份有限公司西安市雁塔支公司,西安-雁塔区,1-1.2万/月,07-23,2年经验,大专,行政经理/主管/办公室主任;行政专员/助理;行政主管;行政人事;人事经理;行政总监;部门经理;部门主管;总经理;人力资源管理;办公室主任,招1人
4186,技术工程师,东莞市南柏电子科技有限公司,东莞-石排镇,5-8千/月,07-23,3-4年经验,大专,电子技术研发工程师;技术,招1人
4187,总经理助理,陕西惠家货运有限公司,西安-未央区,4.5-6千/月,07-23,3-4年经验,大专,总裁助理/总经理助理,招1人
4188,汽车销售（高福利+高提成）,深圳浩迪汽车销售服务有限公司,深圳-坪山区,1-1.5万/月,07-23,1年经验,大专,汽车销售/经纪人;销售代表;销售顾问;销售专员;客户顾问,招10人
4189,应届毕业生（会日语）,苏州住电装有限公司,苏州,4.5-6千/月,07-23,无工作经验,,大学/大专应届毕业生;日语,招2人
4190,设计师、设计员,四川平源建设工程有限公司,成都-成华区,1-1.5万/月,07-23,无工作经验,,建筑设计师;工程/机械绘图员;机械设计;幕墙设计;装饰设计,招20人
4191,广告客户主管,上海凸版利丰广告有限公司,上海-普陀区,0.8-1.6万/月,07-23,5-7年经验,,广告客户主管/专员;广告客户经理;account;客户专员;化妆品;柜台;道具;制作;物料;线下,招1人
4192,外贸业务员阿里国际站,广州卢可柏仑贸易有限公司,广州,10-40万/年,07-23,1年经验,大专,贸易/外贸专员/助理;贸易/外贸经理/主管;外贸业务员;销售;跨境电商;阿里巴巴;运营;贸易;16888,招10人
4193,社区运营客服（区块链行业）,武汉驰泰区块链科技有限公司,武汉,3.5-6千/月,07-23,无工作经验,,网络/在线客服,招3人
4194,威海销售代表,徐福记国际控股集团有限公司山东大区,青岛-城阳区,5-8千/月,07-23,无工作经验,,销售代表;销售代表,招若干人
4195,业务跟单,东莞市博发光电科技有限公司,东莞-横沥镇,4.5-6千/月,07-23,3-4年经验,大专,业务跟单;业务跟单,招4人
4196,电商管培生,如东康美大药房连锁有限公司,上海-松江区,5-8千/月,07-23,无工作经验,本科,电子商务专员;管培生,招20人
4197,区域销售主管/专员,中博瑞康（北京）生物技术有限公司,郑州,4.5-6千/月,07-23,无工作经验,,大客户销售;销售代表,招1人
4198,商务投标专员,深圳市广宁股份有限公司,南京-江宁区,6-8千/月,07-23,2年经验,本科,智能大厦/综合布线/安防/弱电,招2人
4199,渠道经理,重庆存远企业管理咨询有限公司,重庆-渝北区,0.6-2万/月,07-23,2年经验,大专,律师/法律顾问,招1人
4200,渠道总监--年薪30w以上,上海四恩绩效管理技术有限公司,上海-闵行区,30-50万/年,07-23,3-4年经验,本科,渠道/分销经理;渠道/分销总监;渠道;招商,招1人
4201,渠道销售代表,成都普吉海洋置业有限公司,成都-青羊区,6-8千/月,07-23,无工作经验,,渠道/分销经理;渠道/分销专员;渠道;海外房产;销售,招5人
4202,项目经理 Project Manager,上海信鸿装饰工程有限公司,上海-徐汇区,1.5-2.5万/月,07-23,3-4年经验,本科,建筑工程管理/项目经理;精装修;奢侈品;道具;施工,招2人
4203,网络优化咨询工程师,中国移动通信集团设计院有限公司广东分公司,海口,0.8-1万/月,07-23,无工作经验,本科,通信技术工程师;移动通信工程师,招若干人
4204,会计（津南）,天津广信有限责任会计师事务所,天津-津南区,3.5-5千/月,07-23,2年经验,大专,会计,招若干人
4205,设备及备件采购工程师,华晨雷诺金杯汽车有限公司,沈阳,,07-23,3-4年经验,本科,采购员,招1人
4206,冷柜安装学徒,成都科创恒泰系统集成有限公司,成都-高新区,3-5千/月,07-23,无工作经验,初中及以下,技工;普工/操作工,招10人
4207,寿险专业顾问,中国平安人寿保险股份有限公司湖南分公司,长沙-天心区,1-1.5万/月,07-23,无工作经验,大专,区域销售经理;大客户管理;市场管理;决策能力;领导力;团队建设,招若干人
4208,售后服务专员,南宁东广信息科技有限公司,北海,3-5千/月,07-23,1年经验,高中,售前/售后技术支持工程师;技术支持/维护工程师;售后服务;售后工程师;IT技术员,招若干人
4209,校区店长（杭州滨江）,北京港艺芭蕾舞培训有限公司,北京-朝阳区,1-1.5万/月,07-23,3-4年经验,大专,培训/课程顾问;销售经理;校区管理;课程销售;少儿舞蹈培训;教务管理,招若干人
4210,人事专员,深圳奥泽汽车销售服务有限公司,深圳-福田区,4.5-6千/月,07-23,2年经验,,人事专员,招1人
4211,招聘主管,万控集团有限公司,温州,5-8千/月,07-23,3-4年经验,大专,招聘经理/主管;招聘经理;招聘主管,招1人
4212,会计专员（实习岗位）,上海未来宽带技术股份有限公司,上海,4.5-6千/月,07-23,无工作经验,本科,会计,招1人
4213,IOS工程师（工作地点：上海）,苏州忆信捷信息技术有限公司,上海-青浦区,1.1-1.5万/月,07-23,3-4年经验,本科,软件工程师;互联网软件开发工程师,招3人
4214,教务管理,上海亿贝文化传播有限公司,上海-徐汇区,0.5-1万/月,07-23,无工作经验,大专,院校教务管理人员,招2人
4215,接待文员,宁乡湘华房地产开发有限公司,长沙-宁乡县,3-4.5千/月,07-23,无工作经验,,前台接待/总机/接待生;接待;协调;公关;应届毕业生,招1人
4216,在线客服专员（高薪+五险+法定假）,养无极（广东）药业有限公司,广州-天河区,3-4.5千/月,07-23,无工作经验,中专,网络/在线客服;客服;在线客服;在线咨询,招若干人
4217,游戏特效师,广州心流信息科技有限公司,广州-天河区,0.5-1万/月,07-23,无工作经验,,特效设计师,招2人
4218,培训主管,苏州欧宝美家具有限公司,苏州-相城区,1-1.5万/月,07-23,无工作经验,,培训讲师;培训策划;培训,招1人
4219,法务,大连志杰建设工程有限公司,大连-大连保税区,5-6千/月,07-23,无工作经验,本科,法务主管/专员;法务;合同,招1人
4220,项目现场电工,湖北锦翔能源工程有限公司,武汉-洪山区,6-8千/月,07-23,3-4年经验,中专,电工;技工;电工;项目现场,招若干人
4221,文案翻译及资料管理,上海奥世管理体系认证有限公司,上海-青浦区,6-8千/月,07-23,1年经验,大专,行政专员/助理;英语翻译;文案翻译管理,招若干人
4222,医疗器械学术经理,武汉耦合医学科技有限责任公司,武汉-洪山区,0.6-1万/月,07-23,2年经验,本科,医疗器械市场推广;医疗器械;学术推广;培训;运营,招1人
4223,面料辅料采购,广州市乐缘体供应链有限公司,广州-番禺区,5-8千/月,07-23,2年经验,大专,采购员;面料辅料采购;面料采购;辅料采购;羽绒服,招2人
4224,电商美工/平面设计师,深圳市中擎创科技有限公司,深圳-龙华新区,0.8-1万/月,07-23,2年经验,大专,平面设计师,招1人
4225,日语人事专员,大金氟涂料（上海）有限公司,上海-闵行区,0.8-1万/月,07-23,3-4年经验,大专,人事专员;人事,招若干人
4226,人事主管,哈尔滨市道里区新动态国际英语学校,哈尔滨,3-4.5千/月,07-23,3-4年经验,本科,人事主管;周末双休;五险一金;带薪年假;节日福利,招1人
