,职位,公司,城市,工资,发布日期,经验要求,学历,职能类别,招聘人数
8280,销售代表（无责底薪+高提成+双休+管吃）,河南卓佳知识产权代理有限公司,郑州-管城回族区,1-1.5万/月,07-23,1年经验,高中,销售代表;大客户销售;电话销售;直销销售;渠道销售;客户代表;销售代表;业务员;业务代表;大客户经理;网络销售,招20人
8281,市场推广,德中（深圳）激光智能科技有限公司,深圳-宝安区,6.5-9千/月,07-23,2年经验,大专,市场助理;平面设计,招1人
8282,商品助理,奢殿（上海）贸易有限公司,上海-虹口区,4.5-6千/月,07-23,无工作经验,,电子商务专员;商品助理;销售助理;商务助理,招1人
8283,陆家嘴金融区银行贷款信贷员,中国大地财产保险股份有限公司上海分公司浦东浦东大道营销服务部,上海-浦东新区,2-2.5万/月,07-23,无工作经验,大专,电话销售;直销销售;电话销售,招10人
8284,运维工程师,深圳市绿牛科技开发有限责任公司,深圳-南山区,1-1.5万/月,07-23,3-4年经验,大专,软件工程师;运维、开发,招2人
8285,视频制作,北京国正宏音文化交流有限公司,北京-海淀区,0.8-1万/月,07-23,无工作经验,,后期制作;编辑;课程;后期;包装,招若干人
8286,改善推进担当（ERP系统维护）,苏州爱知科技有限公司,苏州-工业园区,4.5-6千/月,07-23,3-4年经验,本科,数据库工程师/管理员,招1人
8287,急 日语文员（五险+周末双休）,安徽红山对外经济合作有限公司,合肥-包河区,3-4.5千/月,07-23,1年经验,大专,行政专员/助理;文员,招1人
8288,TV ID 工程师,孟加拉国沃尔顿高科技实业有限公司深圳代表处,深圳-南山区,1.5-2万/月,07-23,5-7年经验,大专,结构工程师;工业/产品设计;New;idea;结构设计,招1人
8289,行政助理,浙江永昌乐地文化旅游发展有限公司,杭州-拱墅区,4.5-5千/月,07-23,1年经验,本科,行政专员/助理;人事行政助理,招1人
8290,乐高老师,浙江奥创教育科技有限公司,义乌,4.5-6千/月,07-23,无工作经验,大专,小学教师;中学教师;乐高教育;幼教;小学老师;理科老师;师范专业,招10人
8291,咖啡师,首建地产有限公司,北京-西城区,3-4.5千/月,07-23,无工作经验,高中,餐饮服务员;咖啡师,招2人
8292,项目助理,东莞市房有道网络科技有限公司,东莞-虎门镇,4.5-6千/月,07-23,1年经验,大专,行政专员/助理;楼盘驻场文员,招1人
8293,销售代表,上海盛愉网络科技有限公司,广州-天河区,0.8-1.5万/月,07-23,无工作经验,,销售代表;渠道销售;电话销售,招若干人
8294,电商美工-光明新区,深圳市东方视听设备有限公司,深圳-光明新区,6-8千/月,07-23,1年经验,,网店美工;网店店铺管理员;天猫美工;淘宝美工;京东美工;网店美工;阿里巴巴美工,招3人
8295,拓展经理,苏州市房小宝信息技术有限公司,苏州,6-8千/月,07-23,无工作经验,大专,房地产项目/策划经理;拓展经理;开拓市场;研展经理;拓展总监;商务谈判,招5人
8296,人事专员,四川鑫联行房地产营销策划有限公司,绵阳,4.5-6千/月,07-23,无工作经验,,人事助理;人事专员,招若干人
8297,金融销售顾问,中国大地财产保险股份有限公司深圳市龙岗支公司,深圳-龙岗区,1.5-2万/月,07-23,1年经验,高中,金融产品销售;融资专员;金融;销售;顾问,招2人
8298,机械工程师,深圳市华鑫环境科技有限公司,深圳-龙华新区,0.5-1.2万/月,07-23,2年经验,本科,机械工程师;机械设计;机电一体化,招2人
8299,急聘 幼儿园园长,美松教育集团,沈阳-大东区,0.5-1.2万/月,07-23,10年以上经验,本科,幼教;幼儿园;幼教;学前;园长,招1人
8300,高薪诚聘电子元器件（中班）外贸销售(底薪+高提成）,福州成敏贸易有限公司,武汉-江汉区,3.2-6千/月,07-23,无工作经验,大专,贸易/外贸专员/助理;其他;销售;外贸业务员;销售代表;渠道经理;渠道拓展,招3人
8301,预决算工程师,四川杰瑞恒日天然气工程有限公司,成都-高新区,4.5-6千/月,07-23,1年经验,大专,预结算员,招1人
8302,文案编辑,上海腾澜医疗器械有限公司,上海-嘉定区,6-8千/月,07-23,1年经验,大专,网站编辑;文案/策划;文案;营销;品牌宣传;新媒体运营;编辑;文案编辑;医疗;学术,招2人
8303,业务跟单,深圳市路福寝具有限公司,深圳-龙岗区,4.5-6千/月,07-23,3-4年经验,中专,业务跟单;客服专员/助理;跟单;销售助理;业务跟单;内销跟单;营销助理;跟单文员;国内跟单,招1人
8304,技术员,华创融盛展示（北京）有限公司,德州,4-8千/月,07-23,无工作经验,,工程/机械绘图员;结构工程师;设计;技术员;solidworks;结构,招6人
8305,销售前台文员,广东大昌行喜龙汽车贸易有限公司,广州-荔湾区,3.5-4.5千/月,07-23,无工作经验,,前台接待/总机/接待生,招1人
8306,电堆研发工程师,深圳市雄韬电源科技股份有限公司,深圳,1-1.5万/月,07-23,无工作经验,博士,科研人员,招5人
8307,无责任底薪6k-销售代表,深圳市天域文化传媒有限公司,上海-杨浦区,0.8-1万/月,07-23,无工作经验,,电话销售;销售代表;电话销售,招5人
8308,会计/财务会计,陕西标远环保科技有限公司,西安,3.5-5.5千/月,07-23,3-4年经验,大专,审计专员/助理,招1人
8309,高级专员(003606),汉能移动能源控股集团有限公司,北海,4.5-6千/月,07-23,2年经验,本科,会计,招1人
8310,6K月 白班坐班 普工 操作工 组装工包装工包吃住qaqc,广州市搜首信息科技有限公司,深圳-南山区,6-8千/月,07-23,无工作经验,高中,普工/操作工;组装工,招50人
8311,视频设计师,上饶市一三齐齐信息技术有限公司广州分公司,广州-天河区,0.8-1.2万/月,07-23,无工作经验,大专,后期制作;特效设计师;视频设计;游戏;flash;后期制作,招1人
8312,司机,黑龙江天利建筑装饰工程有限公司,洛阳,2-3.5千/月,07-23,无工作经验,,后勤;建筑安装施工员;司机;商务司机;后勤司机,招若干人
8313,DQE工程师,深圳市坤弘电子有限公司,深圳-宝安区,0.8-1万/月,07-23,3-4年经验,大专,其他,招1人
8314,跨境电商aliexpress、wish、Amazon运营专员,广州市千柔电子商务有限公司,广州-白云区,4-8千/月,07-23,1年经验,大专,网站运营专员;Wish;跨境电商;wish运营专员;运营助理;外贸电商;外贸业务员;电商运营;电子商务运营;wish电商专员;外贸销售,招1人
8315,心理健康教育讲师,广州逸成教育信息咨询有限公司,广州-天河区,0.5-1万/月,07-23,无工作经验,,讲师/助教;心理健康;教育讲师,招1人
8316,外贸业务单证急聘（高薪+奖金+双休+福利）,宁波捷力克化工有限公司,宁波-高新区,0.8-1万/月,07-23,无工作经验,本科,助理业务跟单;贸易/外贸专员/助理;外贸;单证;出口;高薪;急聘;宁波;东部新城;奖金;双休;贸易,招5人
8317,建筑设计助理,江门市银葵高尔夫有限公司,江门,3-4.5千/月,07-23,1年经验,大专,建筑设计师,招1人
8318,5000出差专员（五险一金+包住宿）,西安巡鹰电子科技有限公司,西安-雁塔区,5-8千/月,07-23,无工作经验,,销售代表;销售主管;销售代表;市场推广;业务专员;客户经理;市场主管;销售专员;客户代表;销售经理;销售主管;市场督导,招6人
8319,OLED模组物料/OLED委外代工 采购高级专员,武汉华星光电技术有限公司,武汉,0.8-1万/月,07-23,3-4年经验,本科,采购主管;供应商开发,招2人
8320,市场专员（怀化、茂名、南雄、东莞、翁源、桃江）,广州市暄云医生集团有限公司,怀化,4-6千/月,07-23,2年经验,大专,市场/营销/拓展专员;市场;运营;销售;策划;地推;活动执行;促销;广告;营销,招3人
8321,战略分析经理,深圳市三维通机器人系统有限公司,深圳-南山区,1.5-2.5万/月,07-23,5-7年经验,本科,策略发展总监;咨询经理,招1人
8322,仓库管理员1,广州天思品汇实业有限公司,广州-花都区,3.5-4.5千/月,07-23,2年经验,中专,后勤;仓库管理员;仓库管理,招1人
8323,仓库管理员（急）,上海奕仰网络科技有限公司,上海-闵行区,4-5千/月,07-23,无工作经验,,仓库管理员,招1人
8324,电话客服专员（无责任底薪+提成+晋升）,深圳市益海金融信息服务有限公司,深圳-龙华新区,0.8-4万/月,07-23,无工作经验,高中,电话销售;销售代表;电话销售;销售代表;金融;贷款;客服;顾问;融资,招6人
8325,销售（业务跟进）（专）,上海禾健营养食品有限公司,上海-静安区,0.8-1万/月,07-23,3-4年经验,大专,电话销售;大客户销售;销售;电话销售;销售代表;网络销售;坐席;包住;双休;做五休二;直销销售,招若干人
8326,移动客服,云思信息,成都-锦江区,4.5-6千/月,07-23,无工作经验,高中,网络/在线客服;普通话流利,招若干人
8327,知识产权专员,天诚（天津）知识产权代理有限公司,天津-南开区,6-8千/月,07-23,无工作经验,大专,专业顾问;知识产权/专利/商标;知识产权顾问,招2人
8328,HR Supervisor 人力资源主管,乐斯福(明光)有限公司,滁州,0.5-1万/月,07-23,3-4年经验,本科,人事专员;人事主管;HR;招聘;培训;薪酬,招1人
8329,知识产权专员/知识产权助理,深圳律子控股有限公司,深圳-罗湖区,0.8-1万/月,07-23,无工作经验,,知识产权/专利/商标;知识产权;专利;商标,招1人
8330,实习会计,伟志股份公司南宁分公司,南宁,2-3千/月,07-23,无工作经验,,会计;财务助理/文员,招10人
8331,跨境电商美工,深圳市网人科技有限公司,深圳-龙华新区,0.6-1万/月,07-23,2年经验,大专,网店美工;平面设计师;美工;平面设计;视觉设计;拍摄,招1人
8332,飞猪客服专员（优秀应届毕业生),重庆杰志汽车维修服务有限公司,重庆-九龙坡区,3-4.5千/月,07-23,无工作经验,,销售行政助理,招3人
8333,行政文员,阳光城集团广州公司,广州-花都区,4-6千/月,07-23,3-4年经验,大专,行政专员/助理;房地产;行政;文员,招若干人
8334,销售业务员,雅之峰装饰工程（武汉）有限公司,武汉,3-4.5千/月,07-23,无工作经验,高中,销售代表;渠道/分销专员;社保，销售,招2人
8335,QA质检主管/专员,杭州幻熊科技有限公司,上海-静安区,6-8千/月,07-23,2年经验,大专,客服主管,招2人
8336,总部 - 招聘经理,中山市利和置业有限公司,中山,1-1.5万/月,07-23,5-7年经验,本科,招聘经理/主管;人事经理;招聘,招1人
8337,小学数学老师,武汉汇合众智科技有限公司,武汉-江岸区,3-4.5千/月,07-23,1年经验,大专,其他;小学教师;小学老师,招10人
8338,电子商务客服专员（纯打字+社保双休）,上海特朗思大宇宙信息技术服务有限公司武汉分公司,武汉-江夏区,4-6千/月,07-23,无工作经验,大专,网络/在线客服;咨询热线/呼叫中心服务人员;客服;电子商务;电商客服;在线客服;客服专员;文员;在线;互联网;订单处理;技术支持,招30人
8339,C++高级开发工程师,西安海讯科技发展有限公司,西安-雁塔区,1-2万/月,07-23,2年经验,本科,高级软件工程师;c++;qt;mfc,招2人
8340,商品经理,深圳众享集团有限公司,深圳-龙岗区,1-1.5万/月,07-23,2年经验,大专,产品/品牌经理;市场/营销/拓展经理;展厅商品销售,招1人
8341,医药代表-基层（慢病）,华润双鹤药业股份有限公司-营销管理中心,长沙,4-8千/月,07-23,1年经验,大专,医药代表;医药代表,招1人
8342,大客户代表（高端豪宅）,深圳市乐有家房产交易有限公司,深圳-龙岗区,6-8千/月,07-23,无工作经验,大专,实习生;实习生;营销管培生;客户代表;销售顾问;房地产中介;住宿;五险一金,招8人
8343,linux网络开发工程师,深圳市网是科技有限公司,成都-高新区,0.8-1.5万/月,07-23,3-4年经验,大专,嵌入式软件开发(Linux/单片机/PLC/DSP…),招1人
8344,高级Java开发工程师（互联网，双休）,广州贝应网络科技有限公司,广州-天河区,1.5-2万/月,07-23,5-7年经验,本科,高级软件工程师;软件工程师;java,招1人
8345,定制家居销售设计师,健威人性家具,广州,0.6-1万/月,07-23,1年经验,中专,家具/家居用品设计;家居设计;销售;高底薪高提成;地铁口;旅游团建,招5人
8346,业务跟单,深圳市龙盛印刷包装有限公司,深圳-龙岗区,4.5-6千/月,07-23,1年经验,高中,商务助理;销售代表;业务助理;业务跟单,招2人
8347,销售经理,山东绿地泉控股集团股份有限公司,济南-高新区,1.5-2万/月,07-23,3-4年经验,大专,销售经理,招1人
8348,长江西路催收客服文员月薪7K+免费住宿,安徽成智人力资源管理有限公司,合肥-滨湖新区,5-9千/月,07-23,无工作经验,,风险管理/控制;客服专员/助理;客服;文员;包住;实习生;催收;风险控制;信贷管理;销售;电话;呼叫中心客服,招10人
8349,电子料采购员,深圳市智芯时代科技有限公司,深圳-宝安区,6-8千/月,07-23,2年经验,高中,采购员;采购;采购员;电子料;采购专员;采购文员;采购助理;电子料;蓝牙耳机,招1人
8350,康复治疗师,广州市万颐养老院有限公司,深圳-南山区,4.5-6千/月,07-23,2年经验,,针灸/推拿,招若干人
8351,大锅菜厨师,宁波博曼特工业有限公司,宁波-鄞州区,4.5-6千/月,07-23,无工作经验,,中餐厨师,招1人
8352,培训讲师,中国人寿保险股份有限公司西安分公司,西安-碑林区,3-4.5千/月,07-23,无工作经验,本科,培训讲师;培训专员/助理/培训师;轻松,招4人
8353,电商网络营销/在线销售/销售助理/电商专员,广州市旭耐芳贸易有限公司,广州-天河区,4.5-6千/月,07-23,1年经验,高中,网络/在线销售;销售助理;网络营销;销售助理;电商专员;实习生;高薪;销售;应届生;市场营销;氛围佳;销售代表,招6人
8354,商务经理,上海德麦电子科技有限公司,上海-普陀区,0.8-1万/月,07-23,1年经验,大专,渠道/分销经理;销售经理;渠道销售;直销销售;京东;淘宝;提成;网络销售;自媒体道;分销;业务拓展;渠道开发,招2人
8355,欢迎大使前台接待主管,沈阳东方银座铂尔曼酒店管理有限公司,沈阳,3-4.5千/月,07-23,2年经验,本科,前台接待/总机/接待生,招若干人
8356,电话催收专员月8千以上,广州恒建生物科技有限公司,广州-白云区,6-8千/月,07-23,无工作经验,初中及以下,风险管理/控制;信审核查,招10人
8357,家具设计师,长沙索菲亚全屋定制&司米橱柜公司,长沙,1-1.2万/月,07-23,无工作经验,大专,家具/家居用品设计;定制家居,招10人
8358,外贸服装业务员（五险一金）,宁波兴裕针织有限公司,宁波-海曙区,8-10万/年,07-23,无工作经验,,业务跟单;高级业务跟单,招2人
8359,集团总裁助理,陕西泰发祥实业集团有限公司,西安,6-8千/月,07-23,3-4年经验,本科,总裁助理/总经理助理;企业秘书/董事会秘书;经济学;助理;集团;总裁,招1人
8360,越秀银行客服+五险一金+带薪培训,广州暴龙电子科技有限公司,广州-越秀区,3-6千/月,07-23,无工作经验,,客服专员/助理;咨询热线/呼叫中心服务人员;客服专员;话务员;呼叫中心;文职文员;咨询热线;电话客服专员;五险一金;带薪培训,招5人
8361,5k禅城区办公室在线客服/可实习,广州岭联文化传播有限公司,佛山-禅城区,3.8-4.8千/月,07-23,无工作经验,,客服专员/助理;电话客服;在线客服;办公室;电商;双休;提供住宿;无通宵班;五险一金;班补,招6人
8362,销售秘书,成都方维投资管理有限公司,达州,3-4.5千/月,07-23,无工作经验,高中,行政专员/助理,招若干人
8363,外贸跟单员,佛山市登拓医疗器械有限公司,佛山-南海区,4.5-6千/月,07-23,无工作经验,,业务跟单;外贸;跟单,招2人
8364,法务主管,前海人寿不动产（西安）,西安-浐灞生态区,15-25万/年,07-23,无工作经验,本科,法务主管/专员,招若干人
8365,电话销售、底薪5k（罗湖国贸）,吉林省拓泰网络科技有限责任公司,深圳-罗湖区,0.8-1万/月,07-23,无工作经验,,销售代表;电话销售,招20人
8366,市场策划+多产品销售,湖南路通机械设备有限公司,湘潭,4.5-6千/月,07-23,无工作经验,,销售经理,招1人
8367,包吃住销售无责底薪3000+,成都荣新慧择教育科技有限公司,成都-郫都区,0.3-1.2万/月,07-23,无工作经验,大专,电话销售;电话销售;朝九晚六;包吃住;无责底薪;五险;高提成;招生老师;网络销售,招若干人
8368,公司提供微信在线销售,深圳依诗黎科技有限责任公司,深圳-龙岗区,6-8千/月,07-23,无工作经验,,网络/在线销售;销售,招10人
8369,销售代表,深圳方维教育有限公司,深圳-宝安区,4-8千/月,07-23,无工作经验,高中,电话销售;电话销售,招10人
8370,电商美工(***),苏州和光同城智能光伏科技有限公司,苏州-工业园区,3-4.5千/月,07-23,1年经验,本科,平面设计师;工业/产品设计;平面设计;美工;产品手册设计,招1人
8371,招商专员,中外企知识产权服务中心（上海）有限公司,上海-徐汇区,4.5-6千/月,07-23,无工作经验,,电话销售,招若干人
8372,人事行政专员,平安普惠投资咨询有限公司芜湖长江中路分公司,芜湖,3-4.5千/月,07-23,无工作经验,大专,人事专员;行政专员/助理;人事专员;行政专员;文员;行政人事,招若干人
8373,平面设计师,深圳市龙辉印刷有限公司,深圳-宝安区,6-8千/月,07-23,3-4年经验,,平面设计师;平面设计师;印刷设计,招1人
8374,产业地产部 租赁经理,戴德梁行房地产顾问（武汉）有限公司,武汉-江汉区,1-1.5万/月,07-23,3-4年经验,本科,市场/营销/拓展主管;房地产资产管理;产业选址,招2人
8375,店长,广州市迪如服装有限公司,江门,3-4.5千/月,07-23,无工作经验,,店员/营业员,招若干人
8376,置业顾问/房地产顾问,上海和湛企业管理有限公司,上海-浦东新区,1.5-2万/月,07-23,1年经验,,房地产销售;房地产销售经理/主管;销售;置业顾问;急聘,招5人
8377,销售底薪4000起,武汉琛吉科技有限公司,武汉-洪山区,0.8-1万/月,07-23,无工作经验,中专,风险管理/控制,招若干人
8378,课程顾问,广州煜阳教育咨询有限公司,广州-荔湾区,3-4.5千/月,07-23,1年经验,,专业顾问;咨询员,招2人
8379,销售工程师,上海隽然贸易有限公司,上海-徐汇区,0.7-1.2万/月,07-23,1年经验,大专,销售工程师;钛白粉;有机硅;化工;销售,招2人
8380,仓库管理员,南宁市美点饼业食品有限责任公司,南宁,3-3千/月,07-23,1年经验,高中,仓库管理员,招2人
8381,Lianjia链家总部——应届毕业生/房产顾问,北京链家房地产经纪有限公司-BJ050,北京,6-8千/月,07-23,无工作经验,本科,大学/大专应届毕业生;销售代表;电话销售;直销销售;渠道销售;销售顾问,招若干人
8382,亚马逊采购5000起不加班,深圳市海源汇电子科技有限公司,深圳-龙华新区,5-6千/月,07-23,1年经验,,采购员,招1人
8383,市场专员/主管（七宝）,上海英闪教育科技有限公司,上海-闵行区,0.8-1.5万/月,07-23,1年经验,大专,市场/营销/拓展主管;市场/营销/拓展专员;市场开发;市场拓展;地推;教育,招1人
8384,高薪诚聘电话销售,融盛世纪法务咨询（深圳）有限公司,深圳-宝安区,6-8千/月,07-23,无工作经验,高中,网络/在线客服;咨询热线/呼叫中心服务人员,招10人
8385,（高级）销售顾问碧桂园—亳州,安徽碧桂园房地产开发有限公司,亳州,4.5-6千/月,07-23,无工作经验,大专,销售代表,招4人
8386,hrbp/人事主管,杭州滴滴汽车服务有限公司,杭州-余杭区,1-1.5万/月,07-23,5-7年经验,本科,HRBP;人事经理,招1人
8387,实习销售行政助理（高薪提成+年终奖）,中国平安人寿保险股份有限公司安徽分公司,合肥-蜀山区,6-8千/月,07-23,无工作经验,,销售代表;大客户销售;双休;高薪;高提成;晋升快;车险贷款,招2人
8388,高级硬件设计工程师,武汉领安科技有限公司,武汉-洪山区,1.4-1.6万/月,07-23,3-4年经验,大专,高级硬件工程师;智能;硬件;系统架构;设计;原理图;PCB;模拟电路;数字电路;计算机,招1人
8389,销售助理（储备客户经理）,中大咨询,广州-海珠区,4-6千/月,07-23,无工作经验,本科,其他;销售助理;储备客户经理,招若干人
8390,LG OLED 韩语翻译（包食宿）,广州市沃溇商贸有限公司,广州-黄埔区,0.7-1.2万/月,07-23,无工作经验,大专,韩语/朝鲜语翻译;韩语翻译;韩语口译,招50人
8391,游戏渠道商务经理,"R2 GAME CO.,LIMITED",深圳-南山区,1-2万/月,07-23,3-4年经验,大专,其他;渠道商务;商务谈判;游戏渠道,招1人
8392,AI工程师-校招,趋势科技（中国）有限公司,南京-雨花台区,1.5-2万/月,07-23,无工作经验,本科,软件工程师,招若干人
8393,Android驱动工程师,上海贝思特电气有限公司,上海-浦东新区,1-2万/月,07-23,3-4年经验,大专,系统工程师;系统架构设计师;Framework;Linux;Android;驱动编程;PX30;底层;中间层;应用层,招1人
8394,前端工程师,简乘移动科技（广州）有限公司,广州-天河区,0.9-1.2万/月,07-23,1年经验,大专,Web前端开发;配置服务器;前端页面,招1人
8395,品牌推广专员,深圳市欣亚餐饮投资咨询有限公司,深圳-龙华新区,0.6-1.2万/月,07-23,1年经验,大专,新媒体运营,招2人
8396,天鹅湖7K招理财增值客服专员+六险一金+带薪休假,合肥吾东营销策划有限公司,合肥-政务区,0.8-1万/月,07-23,无工作经验,,客服专员/助理,招10人
8397,19年最有前景销售——课程顾问/英语教育,3E魔力英语学习中心,杭州-西湖区,0.8-1万/月,07-23,无工作经验,大专,培训/课程顾问;电话销售;课程顾问;培训;销售;咨询顾问;电话销售,招3人
8398,招聘专员,广东明世教育集团有限公司,广州-番禺区,4.5-6千/月,07-23,1年经验,,招聘专员/助理,招1人
8399,淘宝店长淘宝运营助理 双休+五险,安徽建承智能科技有限公司,合肥-蜀山区,4.5-6千/月,07-23,1年经验,大专,网店/淘宝运营;淘宝运营助理;店长;店铺运营,招3人
8400,佛山广发银行客服 包住+双休,汇杰网络信息（广州）有限公司,佛山-南海区,2万以下/年,07-23,无工作经验,大专,客服专员/助理;咨询热线/呼叫中心服务人员;双休;包吃;包住;高薪;客服;朝九晚六;销售;信用卡,招20人
8401,销售代表,西安美兆健康管理有限公司,西安-高新技术产业开发区,2-4千/月,07-23,无工作经验,,销售代表;销售专员;销售顾问;销售;销售代表;业务员,招60人
8402,财务主管,杭州易酒易酒电子商务有限公司,杭州-滨江区,7-9千/月,07-23,2年经验,大专,财务主管/总账主管;财务;总账,招1人
8403,全国加盟销售管理部副经理,上海古今内衣集团有限公司,上海,10-15万/年,07-23,5-7年经验,大专,渠道/分销主管;业务拓展主管/经理,招若干人
8404,采购,四川创宏电气有限公司,成都-郫都区,4-5千/月,07-23,2年经验,大专,供应商开发;采购员;电子元器件;供应商开发;降本管理,招1人
8405,光学工程师,杭州德迪智能科技有限公司,杭州,1.2-1.8万/月,07-23,3-4年经验,本科,激光/光电子技术,招3人
8406,销售开单员,无锡市亿龙百货有限公司,无锡,3.1-3.5千/月,07-23,2年经验,高中,电脑操作员/打字员;文员;财务助理;电脑操作员;开单员,招若干人
8407,品控主管,王中王食品（深圳）有限公司,深圳-龙岗区,5-8千/月,07-23,3-4年经验,本科,质量管理/测试主管(QA/QC主管);品质管理;主管;质量安全;品控,招1人
8408,一人一台电脑环境优美,淮安真顶电子有限公司,淮安,3-4.5千/月,07-23,无工作经验,初中及以下,人事专员;企业文化/员工关系/工会管理;客服,招10人
8409,电商设计助手+双休4000,深圳市且向科技有限公司,深圳-宝安区,4.5-6千/月,07-23,无工作经验,高中,电子商务专员;培训/课程顾问;咨询;顾问;销售;业务;技术助理;修图;PS;软件,招3人
8410,日语老师（入职五险一金+带薪年假）,郑州樱花国际日语,郑州,4.5-6千/月,07-23,无工作经验,本科,外语培训师;日语老师,招1人
8411,天猫运营,上海凯臣服饰股份有限公司,上海-徐汇区,0.8-1.5万/月,07-23,3-4年经验,大专,网站运营专员;网店/淘宝运营;天猫;淘宝;天猫助理;天猫运营;淘宝助理;淘宝运营;网站运营,招1人
8412,土建项目经理,四川永顺鑫建设工程有限公司,成都-青羊区,0.8-1万/月,07-23,无工作经验,,建筑工程管理/项目经理;土建项目经理,招1人
8413,助理文员,深圳市高治达科技有限公司,深圳-宝安区,4.5-6千/月,07-23,2年经验,高中,行政专员/助理;销售行政助理;文员;行政文员;销售助理;助理文员,招2人
8414,高级前端开发工程师,杭州昇虹智能科技有限公司,上海-长宁区,1.5-2万/月,07-23,无工作经验,,高级软件工程师,招1人
8415,软件实施工程师,安徽省科大奥锐科技有限公司,合肥,5-7千/月,07-23,3-4年经验,本科,技术支持/维护工程师,招1人
8416,市场开发  市场专员  商务专员,四川蜀兴宝石花石油工程设计有限公司,成都-青羊区,6-8千/月,07-23,无工作经验,,市场/营销/拓展专员;市场开发;市场专员;商务专员,招1人
8417,大客户代表,广州鑫豪斯电子科技有限公司,深圳-龙华新区,1-1.5万/月,07-23,2年经验,大专,大客户销售;经销商;消防;仪器仪表,招2人
8418,VM 视觉陈列,上海越泽企业管理咨询有限公司,北京,0.8-1.5万/月,07-23,3-4年经验,,展览/展示/店面设计,招若干人
8419,网站推广,深圳快学教育发展有限公司,深圳-南山区,1.2-2万/月,07-23,3-4年经验,大专,网络推广专员;SEO/SEM;sem;SEO;网络推广;网络运营,招1人
8420,会计,明远信息技术（广东）有限公司,广州-天河区,6-8千/月,07-23,3-4年经验,本科,会计;会计,招若干人
8421,售前支持工程师,深圳市依元素科技有限公司,南京-浦口区,0.8-1.2万/月,07-23,1年经验,本科,售前/售后技术支持工程师;技术支持;光学工程;应用光学;光通信;全息成像;图形图像;光集成电路,招2人
8422,数控车工,广东昭信智能装备有限公司,佛山-南海区,4-6千/月,07-23,1年经验,中专,车工;铣工;车铣工;车工;铣工;技工;数控;数控车床;数控铣床,招2人
8423,校长,南京卓培教育信息咨询有限公司,南京-秦淮区,0.8-1万/月,07-23,5-7年经验,本科,院校教务管理人员,招2人
8424,线上文案,杭州多方健康管理有限公司,杭州-江干区,4-6千/月,07-23,1年经验,,文案/策划;活动策划,招2人
8425,顺丰接听客服连州,深圳市路通网络技术有限公司,清远,3-4.5千/月,07-23,无工作经验,中专,客服专员/助理;顺丰客服;接线客服,招10人
8426,采购工程师,上海法维莱交通车辆设备有限公司,上海,6-8千/月,07-23,3-4年经验,大专,买手;供应商开发,招2人
8427,PHP程序员/网站开发/网站程序员,深圳市麦趣科技有限公司,深圳-龙华新区,6-8千/月,07-23,1年经验,大专,ERP技术开发;网站维护工程师;ERP技术开发;ERP技术开发;网站程序员;PHP,招若干人
8428,市场主管,平阳县昆阳镇育人培训学校,温州,4.5-7千/月,07-23,无工作经验,大专,市场/营销/拓展经理;市场企划经理/主管;市场;推广;渠道;宣传,招1人
8429,平面设计师,珠海市新视界品牌设计有限公司,珠海-香洲区,3.5-5千/月,07-23,1年经验,大专,平面设计师;平面设计;平面设计师;平面;logo设计;VI设计,招3人
8430,电子厂普工/组装/包装5800坐班,广州本声电子科技有限公司,广州-黄埔区,4.5-6千/月,07-23,无工作经验,初中及以下,普工/操作工;组装工;普工;组装;包装;正式工;小时工;五险一金;包吃住,招90人
8431,销售顾问,深圳市中汽南方华沃汽车销售服务有限公司,深圳-南山区,1.5-2万/月,07-23,无工作经验,,销售代表;电话销售;汽车销售,招若干人
8432,助力自行车采购,深圳市金诺威电子有限公司,深圳,0.6-1万/月,07-23,3-4年经验,大专,采购员;自行车采购员,招1人
8433,男装设计师,东莞市圣玳服装有限公司,东莞-虎门镇,5-9千/月,07-23,3-4年经验,大专,服装/纺织设计;服装/纺织设计总监;男装主设计师;男装设计师;服装设计师,招若干人
8434,仓库文员 发货专员,上海中兴兆元绿色建筑科技有限公司,淮安,4-6千/月,07-23,无工作经验,中技,仓库管理员;订单处理员,招若干人
8435,社工,清檬养老服务有限公司,哈尔滨-松北区,3-4.5千/月,07-23,无工作经验,,志愿者/社会工作者,招1人
8436,资深品牌策划/资深策略文案,上海禄诚贸易有限公司,上海-徐汇区,0.8-1万/月,07-23,3-4年经验,本科,文案/策划;品牌策划;策略文案,招1人
8437,客服专员,广东粤宝汽车销售服务有限公司,广州-白云区,4-5.5千/月,07-23,无工作经验,中专,客服专员/助理;咨询热线/呼叫中心服务人员;客服专员;电话客服;非销售,招2人
8438,导购/店员,成都极米科技股份有限公司,重庆-江北区,6-8千/月,07-23,2年经验,高中,店员/营业员,招2人
8439,IQC兼仓管,深圳市科晶智达科技有限公司,深圳-龙华新区,5-6千/月,07-23,无工作经验,,技工,招2人
8440,水果导购员（盒马生鲜）,广州建方人力资源服务有限公司,广州-天河区,3.5-6千/月,07-23,1年经验,中专,促销员/导购;导购;促销;营业员,招5人
8441,招商专员,上海贝乐文化传播有限公司,上海-杨浦区,0.9-1.5万/月,07-23,1年经验,大专,电话销售;销售代表;电话销售;招商;客户代表,招3人
8442,运营经理,云南云滴科技有限公司,昆明-官渡区,0.8-1万/月,07-23,3-4年经验,大专,其他,招2人
